"Sample","perC_OLF+FLF","perC_DF","C13_OLF+FLF","C13_DF","mesh.bag.size","total.wt.g","Species","N.treatment","total.fractionation.wt","FLF.OLF.wt","DF.wt","bulk.perC","bulk.C13","Myco..Association","total.fractionated.mgC","DF.mgC","OLF.FLF.mgC","recovery","mgC13.DF","mgC13.OLF.FLF","mgC13.total","perC13.DF","perC13.OLF.FLF"
11,32.189506464323,4.62768433182944,159.320316076212,5.39162891222265,"r",51.29057665,"Red Oak",3,5.2604,0.3561,4.9248,4.7682193105,38.75684052,"EcM",250.827408609542,227.904197973936,114.626832519454,136.560447038944,2.54604833110445,1.47409885095049,4.02014718205494,63.3322168518968,36.6677831481032
12,29.741163538724,5.57135273730533,160.983414251229,-0.56260793255052,"r",47.62045165,"Red Oak",3,4.9825,0.465,4.5348,5.979427421,49.241585705,"EcM",297.924971251325,252.649703931322,138.296410455066,131.223009855254,2.80596452192733,1.78100763362078,4.58697215554811,61.1724777647366,38.8275222352634
13,32.0018412910589,6.0753167254516,8.41896068840313,-10.8770310255097,"r",45.84669797,"White pine",1,5.0139,0.335,4.6627,7.0364837245,-2.705981873,"EcM",352.802257462705,283.273792957632,107.206168325047,110.679552928869,3.11396877694233,1.2012273776304,4.31519615457273,72.1628557636371,27.8371442363629
13,32.0018412910589,6.0753167254516,8.41896068840313,-10.8770310255097,"r",45.84669797,"White pine",1,5.2786,0.4868,4.8577,7.0364837245,-2.705981873,"EcM",371.427829881457,295.120660572263,155.784963404875,121.397910361495,3.2441988821397,1.74554473859844,4.98974362073814,65.017346154947,34.9826538450531
14,29.6003051674513,5.17976190665261,107.647105354383,-5.31086600655657,"r",49.68910201,"White pine",1,5.1023,0.3308,4.7728,5.5222344005,24.98285236,"EcM",281.760965816712,247.219676280716,97.9178094939288,122.493009198144,2.73275760332227,1.2037851523609,3.93654275568317,69.4202444359838,30.5797555640162
15,34.3125902975288,5.46211335233414,192.21332846595,9.8654028020072,"r",48.49626788,"White pine",2,5.0509,0.2536,4.8021,6.14906028,69.43009613,"EcM",310.58288568252,262.296145292438,87.0167289945329,112.470097481173,2.94315318704752,1.15036368426316,4.09351687131068,71.8979127135042,28.1020872864958
16,30.5915338988213,5.2626956525278,32.7901655172544,-10.5583181475835,"r",45.79116709,"White pine",2,5.2769,0.4625,4.8257,5.9142179795,7.2293753825,"EcM",312.087368560236,253.961904104034,141.485844282049,126.710590758741,2.79263905351125,1.62319964969183,4.41583870320308,63.2414189287661,36.7585810712339
17,31.981707311039,6.21569291207645,74.3091274168976,10.0073622016615,"r",48.02853852,"White pine",3,4.899,0.4135,4.5251,6.8827579835,30.70292033,"EcM",337.186313611665,281.266319964372,132.244359731146,122.635665506802,3.15645099001261,1.57744064672129,4.7338916367339,66.6777195641591,33.3222804358409
18,29.235542160193,4.76800582878337,176.57596834075,4.65898537967493,"r",49.99216498,"White pine",3,4.9851,0.4019,4.617,6.3438445095,82.915570405,"EcM",316.246992643085,220.138829114928,117.497643941816,106.763536384929,2.4575248287558,1.53321436717247,3.99073919592826,61.580692400626,38.419307599374
19,28.4521834380409,5.07063171470285,-2.8468471301774,-19.1120029694246,"r",47.1853409,"White cedar",1,5.354,0.4469,4.9512,5.890632762,-14.57056353,"AM",315.38447807748,251.057117458368,127.152807784605,119.920272407971,2.7370912488226,1.40898585664471,4.14607710546731,66.0164097096332,33.9835902903668
20,29.0382339459429,5.20155170113006,-3.7390300224858,-17.7542208260503,"r",48.82190248,"White cedar",1,4.983,0.4007,4.6161,5.5779876095,-15.206244015,"AM",277.951122581385,240.108828075865,116.356203421393,128.247379678376,2.62131409720053,1.28820736213971,3.90952145934024,67.0494873723727,32.9505126276273
21,34.7911067033608,5.20465573541559,-27.1891594650997,-26.101483769882,"r",50.039915,"White cedar",2,5.454,0.3285,5.1408,5.4504239335,-26.217224865,"AM",297.26612133309,267.560942046245,114.28878552054,128.453833169545,2.89645961952153,1.23585730125594,4.13231692077747,70.0928722324757,29.9071277675243
22,31.1948531681974,6.07146444217733,-27.9174003472474,-26.210345918071,"r",47.01240849,"White cedar",2,4.6979,0.3783,4.3286,6.70415042,-26.35431091,"AM",314.95428258118,262.809409844088,118.010129535291,120.912640481789,2.84470771331791,1.2751529511627,4.1198606644806,69.0486388979988,30.9513611020011
23,28.6391872488923,5.38667012237479,-17.938928757572,-23.1576949889351,"r",47.68906196,"White cedar",3,5.4748,0.4185,5.1043,5.8154453335,-21.70455755,"AM",318.384001118458,274.951803056376,119.854998636614,124.003341972607,2.98536803729724,1.30823662302389,4.29360466032113,69.530575669581,30.469424330419
